INFO 2026-06-21 14:06:46,823 basehttp "GET /static/unfold/fonts/inter/styles.css HTTP/1.1" 304 0
INFO 2026-06-21 14:06:46,823 basehttp "GET /static/unfold/js/chart/chart.js HTTP/1.1" 304 0
INFO 2026-06-21 14:06:46,824 basehttp "GET /static/unfold/css/simplebar/simplebar.css HTTP/1.1" 304 0
INFO 2026-06-21 14:06:46,824 basehttp "GET /static/unfold/fonts/material-symbols/styles.css HTTP/1.1" 304 0
INFO 2026-06-21 14:06:46,824 basehttp "GET /static/unfold/js/htmx/htmx.js HTTP/1.1" 304 0
INFO 2026-06-21 14:06:46,824 basehttp "GET /static/unfold/css/styles.css HTTP/1.1" 304 0
INFO 2026-06-21 14:06:46,826 basehttp "GET /static/unfold/js/simplebar/simplebar.js HTTP/1.1" 304 0
INFO 2026-06-21 14:06:46,827 basehttp "GET /static/unfold/js/app.js HTTP/1.1" 304 0
INFO 2026-06-21 14:06:46,838 basehttp "GET /static/unfold/js/alpine/alpine.sort.js HTTP/1.1" 304 0
INFO 2026-06-21 14:06:46,838 basehttp "GET /static/unfold/js/alpine/alpine.anchor.js HTTP/1.1" 304 0
INFO 2026-06-21 14:06:46,838 basehttp "GET /static/unfold/js/alpine/alpine.resize.js HTTP/1.1" 304 0
INFO 2026-06-21 14:06:46,839 basehttp "GET /static/unfold/js/alpine/alpine.js HTTP/1.1" 304 0
INFO 2026-06-21 14:06:46,839 basehttp "GET /static/unfold/js/alpine/alpine.persist.js HTTP/1.1" 304 0
INFO 2026-06-21 14:06:51,074 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 200 12750
INFO 2026-06-21 14:06:51,094 basehttp "GET /static/unfold/js/chart/chart.js HTTP/1.1" 304 0
INFO 2026-06-21 14:06:51,094 basehttp "GET /static/unfold/css/styles.css HTTP/1.1" 304 0
INFO 2026-06-21 14:06:51,094 basehttp "GET /static/unfold/js/htmx/htmx.js HTTP/1.1" 304 0
INFO 2026-06-21 14:06:51,095 basehttp "GET /static/unfold/fonts/inter/styles.css HTTP/1.1" 304 0
INFO 2026-06-21 14:06:51,095 basehttp "GET /static/unfold/fonts/material-symbols/styles.css HTTP/1.1" 304 0
INFO 2026-06-21 14:06:51,095 basehttp "GET /static/unfold/css/simplebar/simplebar.css HTTP/1.1" 304 0
INFO 2026-06-21 14:06:51,097 basehttp "GET /static/unfold/js/simplebar/simplebar.js HTTP/1.1" 304 0
INFO 2026-06-21 14:06:51,097 basehttp "GET /static/unfold/js/app.js HTTP/1.1" 304 0
INFO 2026-06-21 14:06:51,105 basehttp "GET /static/unfold/js/alpine/alpine.anchor.js HTTP/1.1" 304 0
INFO 2026-06-21 14:06:51,107 basehttp "GET /static/unfold/js/alpine/alpine.persist.js HTTP/1.1" 304 0
INFO 2026-06-21 14:06:51,107 basehttp "GET /static/unfold/js/alpine/alpine.sort.js HTTP/1.1" 304 0
INFO 2026-06-21 14:06:51,107 basehttp "GET /static/unfold/js/alpine/alpine.js HTTP/1.1" 304 0
INFO 2026-06-21 14:06:51,107 basehttp "GET /static/unfold/js/alpine/alpine.resize.js HTTP/1.1" 304 0
INFO 2026-06-21 14:06:59,150 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 200 12750
INFO 2026-06-21 14:06:59,171 basehttp "GET /static/unfold/js/htmx/htmx.js HTTP/1.1" 304 0
INFO 2026-06-21 14:06:59,171 basehttp "GET /static/unfold/css/simplebar/simplebar.css HTTP/1.1" 304 0
INFO 2026-06-21 14:06:59,172 basehttp "GET /static/unfold/fonts/material-symbols/styles.css HTTP/1.1" 304 0
INFO 2026-06-21 14:06:59,172 basehttp "GET /static/unfold/css/styles.css HTTP/1.1" 304 0
INFO 2026-06-21 14:06:59,172 basehttp "GET /static/unfold/fonts/inter/styles.css HTTP/1.1" 304 0
INFO 2026-06-21 14:06:59,174 basehttp "GET /static/unfold/js/chart/chart.js HTTP/1.1" 304 0
INFO 2026-06-21 14:06:59,174 basehttp "GET /static/unfold/js/app.js HTTP/1.1" 304 0
INFO 2026-06-21 14:06:59,175 basehttp "GET /static/unfold/js/simplebar/simplebar.js HTTP/1.1" 304 0
INFO 2026-06-21 14:06:59,180 basehttp "GET /static/unfold/js/alpine/alpine.anchor.js HTTP/1.1" 304 0
INFO 2026-06-21 14:06:59,185 basehttp "GET /static/unfold/js/alpine/alpine.persist.js HTTP/1.1" 304 0
INFO 2026-06-21 14:06:59,185 basehttp "GET /static/unfold/js/alpine/alpine.js HTTP/1.1" 304 0
INFO 2026-06-21 14:06:59,185 basehttp "GET /static/unfold/js/alpine/alpine.resize.js HTTP/1.1" 304 0
INFO 2026-06-21 14:06:59,185 basehttp "GET /static/unfold/js/alpine/alpine.sort.js HTTP/1.1" 304 0
INFO 2026-06-21 14:07:23,598 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 200 12749
INFO 2026-06-21 14:07:23,619 basehttp "GET /static/unfold/css/simplebar/simplebar.css HTTP/1.1" 304 0
INFO 2026-06-21 14:07:23,620 basehttp "GET /static/unfold/fonts/inter/styles.css HTTP/1.1" 304 0
